('AP073', 'Kue pelita', 'KZGMI-2001', 71.0, 141, 5.3, 5.5, 17.6, NULL),  
('AP074', 'Kue putu cangkir', 'KZGPI-1990', 32.6, 304, 5.3, 7.0, 54.9, 0.9),  
('AP075', 'Kue sus', 'KZGMS-1993', 56.6, 221, 7.5, 10.2, 24.8, NULL),  
('AP076', 'Kue thipan', 'KZGMI-2001', 43.0, 247, 2.9, 4.2, 49.5, NULL),  
('AP077', 'Laksa/Putu mayang', 'KZGMI-2001', 73.2, 121, 1.7, 3.4, 21.1, NULL),  
('AP078', 'Lapis legit', 'KZGPI-1990', 21.3, 389, 6.6, 15.7, 55.5, 0.5),  
('AP079', 'Lupis ketan', 'KZGPI-1990', 61.0, 164, 1.8, 2.1, 34.5, 0.7),  
('AP080', 'Manan samin', 'KZGMI-2001', 27.1, 379, 3.4, 18.1, 50.6, NULL),  
('AP081', 'Martabak india', 'KZGMI-2001', 65.8, 153, 4.5, 4.2, 24.3, NULL),  
('AP082', 'Martabak mesir', 'KZGMI-2001', 40.2, 278, 5.1, 8.6, 45.0, NULL),  
('AP083', 'Masekat', 'KZGMI-2001', 15.6, 369, 2.1, 7.0, 74.1, 4.0),  
('AP084', 'Mie aceh rebus', 'KZGMI-2001', 74.6, 113, 3.0, 3.2, 18.1, NULL),  
('AP085', 'Mie ayam', 'KZGMS-1993', 78.6, 102, 6.2, 3.9, 10.5, NULL),  
('AP086', 'Mie bakso', 'KZGMS-1993', 74.5, 114, 5.3, 3.0, 16.4, 0.1),  
('AP087', 'Mie celon', 'KZGMI-2001', 75.9, 102, 3.0, 2.1, 17.8, NULL),  
('AP088', 'Mie pangsit basah', 'KZGMS-1993', 79.2, 105, 5.9, 4.9, 9.4, NULL),  
('AP089', 'Nasi gemuk', 'KZGMI-2001', 61.4, 192, 3.8, 8.8, 24.4, 0.7),  
('AP090', 'Nasi gurih', 'KZGMI-2001', 60.5, 190, 4.7, 7.5, 26.0, 0.7),  
('AP091', 'Nasi minyak', 'KZGMI-2001', 53.3, 207, 3.5, 5.0, 37.1, 0.8),  
('AP092', 'Nasi rames', 'KZGMS-1993', 65.8, 155, 10.3, 4.2, 19.1, NULL),  
('AP093', 'Nopia spesial', 'KZGPI-1990', 11.5, 387, 5.3, 7.6, 74.3, 0.3),  
('AP094', 'Onde-onde', 'KZGMI-2001', 27.7, 336, 4.0, 9.8, 57.9, NULL),  
